"","FIPS","Year","PM2.5","CMR"
"43053","54077",1992,8.94758046515841,399.822160863559
"43054","54077",1993,8.76349381998289,462.621513680813
"43055","54077",1994,8.89734213772495,397.367702709784
"43056","54077",1995,8.61368031398052,432.67470145416
"43057","54077",1996,8.15011360250427,361.293908325851
"43058","54077",1997,8.17321426412906,348.412393513195
"43059","54077",1998,8.47388793857072,362.557536075562
"43060","54077",1999,8.04685247236886,436.384971561678
"43061","54077",2000,8.31591398446097,480.60665387121
"43062","54077",2001,7.87182385345769,359.454081622992
"43063","54077",2002,7.02897759586214,454.845572976111
"43064","54077",2003,7.15027960873291,410.940101857301
"43065","54077",2004,7.27748378500051,363.067681591012
"43066","54077",2005,7.15238426446959,342.906465414862
"43067","54077",2006,6.99864638229169,281.71299792263
"43068","54077",2007,6.98197425590109,310.044385833291
"43069","54077",2008,6.64957428962723,322.876257504599
"43070","54077",2009,6.11279238383923,252.284129692453
"43071","54077",2010,6.47347823764539,257.408547972736
"43072","54079",1990,10.3125728814844,450.566235345509
"43073","54079",1991,10.0563264934933,420.098700717374
"43074","54079",1992,9.58585991001082,387.706318431079
"43075","54079",1993,9.47092435410817,436.645373469651
"43076","54079",1994,9.7723614266584,431.13985559843
"43077","54079",1995,9.40411575129838,423.214258388199
"43078","54079",1996,9.05691572370361,432.984020035147
"43079","54079",1997,8.85877877444087,438.176555982527
"43080","54079",1998,9.23755718999776,365.949687349369
"43081","54079",1999,8.76495271484279,396.369752014786
"43082","54079",2000,9.11495733078237,335.080141859528
"43083","54079",2001,8.45388840070713,336.878223590418
"43084","54079",2002,7.68201394238489,332.632436892187
"43085","54079",2003,7.82008271418908,360.024729083989
"43086","54079",2004,7.92349325109066,321.484624228295
"43087","54079",2005,7.88847001402504,335.006959066121
"43088","54079",2006,7.72000951008085,262.821755581825
"43089","54079",2007,7.67428028781333,270.9215387512
"43090","54079",2008,7.46007477734866,270.167603124053
"43091","54079",2009,6.89790822346368,256.285207012882
"43092","54079",2010,7.45991894539589,273.153106993242
"43093","54081",1990,8.31462211943967,440.091614710219
"43094","54081",1991,7.98213127480477,463.328576038652
"43095","54081",1992,7.81843783621213,469.782285359179
"43096","54081",1993,7.67672955568121,452.635197791461
"43097","54081",1994,7.75950335283713,464.815498505472
"43098","54081",1995,7.58261064483595,460.307469149589
"43099","54081",1996,7.32458567569754,419.325352704308
"43100","54081",1997,7.24625802429523,389.114903598155
"43101","54081",1998,7.5477789091042,413.756774322752
"43102","54081",1999,7.28113684270237,388.270761209158
"43103","54081",2000,7.59943827497754,416.370059539442
"43104","54081",2001,6.91334330115584,417.028668587336
"43105","54081",2002,6.26791894669972,408.999857410224
"43106","54081",2003,6.3318688199735,397.9071192989
"43107","54081",2004,6.49387354818437,384.6125933664
"43108","54081",2005,6.45739750647054,312.313523360987
"43109","54081",2006,6.37598694108423,382.65477433336
"43110","54081",2007,6.40085796547248,331.38806391953
"43111","54081",2008,6.07993466831651,291.821154194697
"43112","54081",2009,5.62972165819514,312.481646879148
"43113","54081",2010,6.11641668937531,313.325864761079
"43114","54083",1990,7.82520288030442,357.245300964133
"43115","54083",1991,7.74705796806062,398.168022891745
"43116","54083",1992,7.45741366914875,356.304489465452
"43117","54083",1993,7.30099471762806,414.523596144037
"43118","54083",1994,7.30308471685067,330.914801096007
"43119","54083",1995,7.19592834260066,367.849259375989
"43120","54083",1996,6.85693334950252,394.153112847226
