,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1318,37133,5,3.2,9.4,23386,33756,43561,11.65569743,11.6,13.1,14.45103733,13.6,11.9,53.7,58.1,57.1,83,32.8,30.7,9.810759993,10.8,11,1.163912075,1.177213927,0.013301852,150355
1319,37135,2.5,2.5,6.3,29968,42372,52981,16.00151494,9.4,10,6.667011349,7,7.4,55.3,57.6,60.1,83.6,15.9,16.9,6.445431176,6.2,8.4,1.793160615,2.249909073,0.456748458,118227
1320,37139,4.4,5.7,10.9,21816,30444,44085,20.18976699,16.3,16.3,7.432102781,9.7,11.2,65.2,65.7,65.2,67.4,30.3,28.9,16.61109788,15.5,13.8,2.177837636,2.664985529,0.487147892,34897
1321,37141,4.6,3.3,7.9,23270,35902,44338,16.28266033,11.2,12.2,28.01710177,22.8,23.9,82.6,82.6,77.3,64.6,33.5,35.7,13.78780718,9.5,10.6,0,1.363127404,1.363127404,41082
1322,37143,3.7,3.1,8.7,20022,29538,43041,15.40487163,12.6,12.2,19.79082864,23.1,19.9,76.8,78.6,75.7,61.2,33,39,17.60840999,13.9,13.4,0,0.87966221,0.87966221,11368
1323,37145,6.3,3,9.3,25625,37159,44668,18.05134189,13.8,15,8.965572203,9.2,13,72.5,74.6,72.2,63.2,38.1,39.4,9.583961062,9.4,11.9,1.20708531,1.459731073,0.252645763,35623
1324,37147,4.1,4.4,9.4,23324,32868,38592,22.15707044,14.4,15.6,5.987926631,10,9.9,58.1,58.1,54.6,71,25.2,26.2,15.46609371,13.5,15.7,1.719009253,2.122602729,0.403593477,133798
1325,37151,3.1,2.1,8.3,27130,38348,40346,12.61677773,10.2,12.2,5.816565064,6.9,9.3,77,76.6,73,62,35.6,35.1,6.460709759,6.8,12.9,1.165161666,1.287810263,0.122648596,130454
1326,37153,5.9,3.9,12.3,21953,28830,30439,20.79054605,17,18.2,7.821934351,10.1,11.1,72.3,71.9,65.7,60.4,35.7,36.8,13.03822938,15.9,20.5,1.803968731,1.567734731,-0.236234001,46564
1327,37155,7.7,5.6,9.2,19716,28202,29667,26.80739363,20.6,22.3,7.404277116,8.6,9,70.1,72.8,65.3,57,30.7,32.9,20.69689945,19.6,25.5,1.281022223,1.605331647,0.324309424,123339
